"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>St Johns Surgery</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.stjohnssurgerybromsgrove.nhs.uk/\"><img src=\"http://www.gpwebsolut...</a>","#logo > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://www.gpwebsolutions-host.co.uk/11427/files/2013/11/cropped-St-Johns-Colour-Logo.jpg\" width=\"300\" height=\"100\" alt=\"St Johns Surgery BHI Parkside Stourbridge Road Bromsgrove Worcs B61 0AZ\">","#logo > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://www.gpwebsolutions-host.co.uk/11427/files/2013/11/cropped-St-Johns-Colour-Logo.jpg\" width=\"300\" height=\"100\" alt=\"St Johns Surgery BHI Parkside Stourbridge Road Bromsgrove Worcs B61 0AZ\">","#logo > a > img"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.stjohnssurgerybromsgrove.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.stjohnssurgerybromsgrove.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.stjohnssurgerybromsgrove.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.stjohnssurgerybromsgrove.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.stjohnssurgerybromsgrove.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<input name=\"s\" id=\"s\" class=\"searchfield\" type=\"text\" value=\"Search...\" onfocus=\"if (this.value == 'Search...') {this.value = '';}\" onblur=\"if (this.value == '') {this.value = 'Search...';}\" style=\"color: rgb(0, 0, 0);\">","#s"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input name=\"s\" id=\"s\" class=\"searchfield\" type=\"text\" value=\"Search...\" onfocus=\"if (this.value == 'Search...') {this.value = '';}\" onblur=\"if (this.value == '') {this.value = 'Search...';}\" style=\"color: rgb(0, 0, 0);\">","#s"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","error","<input name=\"s\" id=\"s\" class=\"searchfield\" type=\"text\" value=\"Search...\" onfocus=\"if (this.value == 'Search...') {this.value = '';}\" onblur=\"if (this.value == '') {this.value = 'Search...';}\" style=\"color: rgb(0, 0, 0);\">","#s"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input name=\"s\" id=\"s\" class=\"searchfield\" type=\"text\" value=\"Search...\" onfocus=\"if (this.value == 'Search...') {this.value = '';}\" onblur=\"if (this.value == '') {this.value = 'Search...';}\" style=\"color: rgb(0, 0, 0);\">","#s"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input id=\"searchsubmit\" class=\"submit\" name=\"submit\" type=\"submit\" value=\"Go\">","#searchsubmit"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Align attributes .","error","<div style=\"margin-top:-15px; padding-right: 5px;\" align=\"right\">\n\t\t\t\t       <ul style=\"list-sty...</div>","#search-box > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a class=\"fontResizer_minus ct-font-resizer-minus\" href=\"#\" title=\"Decrease font size\" style=\"font-size: 0.7em; cursor: pointer;\">A</a>","#search-box > div > ul > ul > li > a:nth-child(1)"
